"","hotelname..1.","url","gps","price"
"1","台北神旺商務酒店","hdpBooking('HDP0000000474','')","toMap('25.0518913','121.527093')","4300.00"
"2","台北松山意舍酒店(新開慕)","hdpBooking('HDP0000020572','')","toMap('25.0495287','121.578842')","4000.00"
"3","台北太平洋商旅","hdpBooking('HDP0000000025','')","toMap('25.032416','121.557607')","4000.00"
"4","福容大飯店 台北一館","hdpBooking('HDP0000000765','')","toMap('25.036628','121.53721')","3960.00"
"5","台北馥敦飯店 - 復南館","hdpBooking('HDP0000000626','')","toMap('25.0313','121.5437')","3950.00"
"6","台北思泊客","hdpBooking('HDP0000020313','')","toMap('25.0327247','121.562941')","3900.00"
"7","台北亞都麗緻大飯店","hdpBooking('HDP0000000219','')","toMap('25.062774','121.529818')","3899.00"
"8","台北長榮桂冠酒店","hdpBooking('HDP0000000136','')","toMap('25.0490267','121.533206')","3860.00"
"9","台北捷絲旅 - 西門町館","hdpBooking('HDP0000010341','')","toMap('25.044857','121.509514')","3800.00"
"10","台北天成大飯店","hdpBooking('HDP0000000226','')","toMap('25.0462839','121.518155')","3800.00"
"11","台北歐華酒店","hdpBooking('HDP0000000125','')","toMap('25.0683','121.5256')","3700.00"
"12","台北圓山大飯店","hdpBooking('HDP0000000019','')","toMap('25.0785','121.5261')","3700.00"
"13","台北國賓飯店","hdpBooking('HDP0000000013','')","toMap('25.056582','121.52313')","3700.00"
"14","台北洛碁商旅-建北館","hdpBooking('HDP0000020288','')","toMap('25.051058','121.536168')","3600.00"
"15","台北麒麟商旅","hdpBooking('HDP0000010503','')","toMap('25.0558217','121.596781')","3600.00"
"16","台北柯達飯店-松江店","hdpBooking('HDP0000020303','')","toMap('25.0593297','121.533458')","3600.00"
"17","台北三德大飯店","hdpBooking('HDP0000000207','')","toMap('25.0648361','121.518530')","3600.00"
"18","台北國王飯店","hdpBooking('HDP0000000191','')","toMap('25.051934','121.526711')","3600.00"
"19","台北豪麗飯店","hdpBooking('HDP0000010525','')","toMap('25.041152','121.546344')","3550.00"
"20","台北內湖駿宇飯店","hdpBooking('HDP0000020254','')","toMap('25.0703669','121.592342')","3550.00"
"21","台北有園飯店","hdpBooking('HDP0000020198','')","toMap('25.0518058','121.537655')","3500.00"
"22","台北商旅官邸別館","hdpBooking('HDP0000010195','')","toMap('25.0878','121.5262')","3500.00"
"23","台北綠蒂飯店","hdpBooking('HDP0000020298','')","toMap('25.0652827','121.526873')","3450.00"
"24","台北王朝大酒店","hdpBooking('HDP0000000021','')","toMap('25.052399','121.548599')","3410.00"
"25","台北城大飯店","hdpBooking('HDP0000020162','')","toMap('25.0593403','121.513397')","3400.00"
"26","台北華國飯店","hdpBooking('HDP0000000370','')","toMap('25.0659','121.5256')","3300.00"
"27","台北宏都金殿商務飯店","hdpBooking('HDP0000000505','')","toMap('25.028366','121.549878')","3300.00"
"28","台北洛碁驛大飯店","hdpBooking('HDP0000020293','')","toMap('25.045807','121.513372')","3300.00"
"29","台北力麗哲園商旅","hdpBooking('HDP0000010370','')","toMap('25.049007','121.564132')","3260.00"
"30","老爺會館台北林森","hdpBooking('HDP0000020031','')","toMap('25.049645','121.524933')","3200.00"
"31","台北馥敦飯店 - 南京館","hdpBooking('HDP0000000358','')","toMap('25.0512934','121.559119')","3200.00"
"32","台北和璞飯店","hdpBooking('HDP0000020258','')","toMap('25.0829054','121.554995')","3200.00"
"33","台北城市商旅-南西館","hdpBooking('HDP0000000002','')","toMap('25.0540','121.5127')","3200.00"
"34","台北薇閣精品旅館-林森館","hdpBooking('HDP0000020018','')","toMap('25.060413','121.525783')","3200.00"
"35","台北伸適商旅","hdpBooking('HDP0000010080','')","toMap('25.061122','121.525653')","3199.00"
"36","台糖台北會館","hdpBooking('HDP0000020187','')","toMap('25.0454199','121.509521')","3150.00"
"37","台北金來商旅","hdpBooking('HDP0000000613','')","toMap('25.0372528','121.528193')","3100.00"
"38","台北柯達飯店-台北二店","hdpBooking('HDP0000020301','')","toMap('25.0618961','121.523007')","3100.00"
